No,母馬優先対象,募集馬名,母馬名,母馬の馬齢,経過年数t,産駒数,入厩,父,母の父,性別,生月,提供牧場,募集総額_万円,1口円,厩舎,馬体重,年内平均からの馬体重差,スコア
76,1,ヴァルキュリアの25,ヴァルキュリア,9,8,2,関西,リアルスティール,Tapit,牡馬,3,ノーザンF,6000万,150000,高柳大輔,458.0,15.8,5
77,0,スピードリッパーの25,スピードリッパー,18,17,9,関西,リアルスティール,ファルブラヴ,めす,3,ノーザンF,3600万,90000,辻野泰之,430.0,-12.2,4
78,0,キズナIIの25,キズナII,16,15,8,関西,タイトルホルダー,Hurricane Run,めす,2,北洋牧場*,3200万,80000,上村洋行,449.0,6.8,2
79,0,ベデザンジュの25,ベデザンジュ,9,8,1,関西,ドレフォン,エピファネイア,牡馬,1,ノーザンF,4000万,100000,田中克典,432.0,-10.2,5
80,1,エリスライトの25,エリスライト,11,10,4,関西,ドレフォン,ディープインパクト,めす,4,ノーザンF,4000万,100000,藤岡健一,403.0,-39.2,4
81,1,クルークハイトの25,クルークハイト,12,11,4,関西,ルヴァンスレーヴ,クロフネ,牡馬,2,ノーザンF,5000万,125000,斉藤崇史,470.0,27.8,5
82,0,チカレンヌの25,チカレンヌ,7,6,2,関西,ルヴァンスレーヴ,Kingman,めす,1,チャンピオンズF*,1600万,40000,小椋研介,435.0,-7.2,1
83,1,リラヴァティの25,リラヴァティ,15,14,8,関西,ウエストオーバー,ゼンノロブロイ,牡馬,1,ノーザンF,8000万,200000,安田翔伍,470.0,27.8,3
84,1,ローズノーブルの25,ローズノーブル,17,16,9,関西,ピクシーナイト,ディープインパクト,牡馬,4,ノーザンF,4600万,115000,杉山晴紀,429.0,-13.2,4
85,1,バウンスシャッセの25,バウンスシャッセ,15,14,8,関西,ルーラーシップ,ゼンノロブロイ,牡馬,5,ノーザンF,5000万,125000,吉岡辰弥,442.0,-0.2,4
86,1,ヴィータアレグリアの25,ヴィータアレグリア,15,14,8,関西,カフェファラオ,ネオユニヴァース,めす,3,ノーザンF,4000万,100000,高野友和,436.0,-6.2,4
87,1,アドヴェントスの25,アドヴェントス,13,12,6,関西,グレナディアガーズ,ジャングルポケット,めす,2,ノーザンF,2400万,60000,小栗実,429.0,-13.2,1
88,1,アーズローヴァーの25,アーズローヴァー,10,9,3,関西,サトノアラジン,キンシャサノキセキ,牡馬,2,ノーザンF,2400万,60000,西村真幸,460.0,17.8,4
89,0,ターシャズスターの25,ターシャズスター,20,19,10,地方,クリソベリル,Spanish Steps,めす,3,ノーザンF,2000万,200000,門別・田中淳司厩舎or大井・渡邉和雄厩舎（外厩）,472.0,29.8,3
90,1,ブランシェクールの25,ブランシェクール,13,12,4,地方,ジュンライトボルト,ダイワメジャー,めす,1,ノーザンF,2800万,280000,門別・田中淳司厩舎or川崎・内田勝義厩舎（外厩）,490.0,47.8,3
91,0,ジュールヒートの25,ジュールヒート,6,5,1,地方,ナダル,ロードカナロア,牡馬,2,ノーザンF,2500万,250000,門別・田中淳司厩舎or船橋・川島正一厩舎（外厩）,437.0,-5.2,4
92,1,ペルレンケッテの25,ペルレンケッテ,18,17,9,地方,ホットロッドチャーリー,ディープインパクト,めす,5,ノーザンF,1800万,180000,門別・田中淳司厩舎or大井・荒山勝徳厩舎,417.0,-25.2,1
93,0,グラッブユアコートの25,グラッブユアコート,14,13,5,地方,マインドユアビスケッツ,ゴールドアリュール,めす,3,ノーザンF,1800万,180000,門別・田中淳司厩舎or大井・荒山勝徳厩舎,412.0,-30.2,2
94,0,エレガントマナーの25,エレガントマナー,20,19,12,地方,モーニン,シンボリクリスエス,牡馬,3,ノーザンF,2000万,200000,門別・田中淳司厩舎or大井・藤田輝信厩舎（外厩）,476.0,33.8,4
